# Describe noise sources and SOUND POWER LEVEL (dB) in format ID, Tag string, X Pos, Y Pos, Z Pos,63Hz,125Hz,250Hz,500Hz,1000Hz,2000Hz,4000Hz,8000Hz
106,Generator106,-63.768,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
107,Generator107,-68.706,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
108,Generator108,-73.644,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
109,Generator109,-81.034,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
110,Generator110,-85.972,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
111,Generator111,-90.91,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
112,Generator112,-100.786,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
113,Generator113,-105.724,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
114,Generator114,-110.662,-47.159,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
115,Generator115,-44.016,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
116,Generator116,-48.954,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
117,Generator117,-53.892,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
118,Generator118,-63.768,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
119,Generator119,-68.706,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
120,Generator120,-73.644,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
121,Generator121,-81.034,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
122,Generator122,-85.972,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
123,Generator123,-90.91,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
124,Generator124,-100.786,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
125,Generator125,-105.724,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
126,Generator126,-110.662,-32.106,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
127,Generator127,-44.016,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
128,Generator128,-48.954,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
129,Generator129,-53.892,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
130,Generator130,-63.768,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
131,Generator131,-68.706,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
132,Generator132,-73.644,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
133,Generator133,-81.034,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
134,Generator134,-85.972,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
135,Generator135,-90.91,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
136,Generator136,-100.786,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
137,Generator137,-105.724,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
138,Generator138,-110.662,-16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
139,Generator139,-44.016,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
140,Generator140,-48.954,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
141,Generator141,-53.892,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
142,Generator142,-63.768,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
143,Generator143,-68.706,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
144,Generator144,-73.644,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
145,Generator145,-81.034,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
146,Generator146,-85.972,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
147,Generator147,-90.91,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
148,Generator148,-100.786,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
149,Generator149,-105.724,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
150,Generator150,-110.662,0,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
151,Generator151,-110.662,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
152,Generator152,-105.724,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
153,Generator153,-100.786,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
154,Generator154,-90.91,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
155,Generator155,-85.972,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
156,Generator156,-81.034,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
157,Generator157,-73.644,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
158,Generator158,-68.706,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
159,Generator159,-63.768,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
160,Generator160,-53.892,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
161,Generator161,-48.954,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
162,Generator162,-44.016,16.053,1.5,112.6,112,107.7,108.4,99.7,100.5,95.3,90.8
